name,occupation,gender,orientation,wikidata_url
Tim Berners-Lee,computer scientist,male,,http://www.wikidata.org/entity/Q80
Jimmy Wales,computer scientist,male,,http://www.wikidata.org/entity/Q181
Q185,computer scientist,male,,http://www.wikidata.org/entity/Q185
Ken Jennings,computer scientist,male,,http://www.wikidata.org/entity/Q186
Julian Assange,computer scientist,male,,http://www.wikidata.org/entity/Q360
Eugene Kaspersky,computer scientist,male,,http://www.wikidata.org/entity/Q4864
Larry Page,computer scientist,male,,http://www.wikidata.org/entity/Q4934
Bill Gates,computer scientist,male,,http://www.wikidata.org/entity/Q5284
Alan Turing,computer scientist,male,homosexuality,http://www.wikidata.org/entity/Q7251
Ada Lovelace,computer scientist,female,,http://www.wikidata.org/entity/Q7259
Kevin Mitnick,computer scientist,male,,http://www.wikidata.org/entity/Q7449
Deborah Estrin,computer scientist,female,,http://www.wikidata.org/entity/Q7526
Elizabeth J. Feinler,computer scientist,female,,http://www.wikidata.org/entity/Q7534
Valerie Aurora,computer scientist,female,,http://www.wikidata.org/entity/Q7536
Mary Gardiner,computer scientist,female,,http://www.wikidata.org/entity/Q7538
Sally Floyd,computer scientist,female,,http://www.wikidata.org/entity/Q7541
Sandra Lerner,computer scientist,female,,http://www.wikidata.org/entity/Q7549
Pattie Maes,computer scientist,female,,http://www.wikidata.org/entity/Q7552
Jude Milhon,computer scientist,female,,http://www.wikidata.org/entity/Q7555
Nicola Pellow,computer scientist,female,,http://www.wikidata.org/entity/Q7557
Radia Perlman,computer scientist,female,,http://www.wikidata.org/entity/Q7558
Ping Fu,computer scientist,female,,http://www.wikidata.org/entity/Q7562
Joyce K. Reynolds,computer scientist,female,,http://www.wikidata.org/entity/Q7563
Jaime Levy,computer scientist,female,,http://www.wikidata.org/entity/Q7567
Ward Cunningham,computer scientist,male,,http://www.wikidata.org/entity/Q7637
Edsger W. Dijkstra,computer scientist,male,,http://www.wikidata.org/entity/Q8556
